Card Name,Set Name,Market Price,Median Price
Undiscovered Paradise,Visions,6.95,5.65
Nimbus Maze,Future Sight,23.83,26.87
Anger of the Gods,Theros,1.85,2.07
Aluren,Tempest,15.99,12.77
Rattlechains,Shadows over Innistrad,3.17,3.94
Winding Canyons,Weatherlight,7.42,7.99
Back to Basics,Urzas Saga,10.16,18.99
Mox Diamond,Stronghold,71.67,73.61
Dream Halls,Stronghold,7.2,7.22
Volraths Stronghold,Stronghold,32.17,26.6
Dust Bowl,Mercadian Masques,11.13,10.98
Life from the Loam,Ravnica,12.53,12.23
Grim Monolith,Urzas Legacy,50.97,65.59
Oracle of Mul Daya,Zendikar,19.32,20.03
Austere Command,Lorwyn,10.98,10.46
River of Tears,Future Sight,8.22,7.2
Wheel of Fortune,Revised Edition,23.62,19.3
